sample_id,a_min_nominal_mm,a_throat_actual_mm,b_rib_mm,N_channels,tw_inner_mm,a1_chamber_mm,a2_exit_mm,h_min_throat_mm,h1_chamber_mm,h2_exit_mm,AR_chamber,AR_throat,AR_exit,t_jacket_mm,t_total_mm,T_in_K,P_in_bar,Tc_out_K,Pc_exit_bar,Delta_P_bar,Twg_max_K,Twc_max_K,status,Material,Power
sample_022,0.8277,0.8477,2.742,114,2.7437,4.8728,16.9194,3.429,2.8107,7.0319,0.577,4.045,0.416,13.83,20.0,30.0,55.0,245.48,41.47,13.53,531.06,388.69,SUCCESS,pass,pass
sample_023,1.7087,1.7192,2.3324,101,1.2236,6.2625,19.8596,6.2611,8.7101,12.7784,1.391,3.642,0.643,12.52,20.0,30.0,55.0,233.72,54.2,0.8,627.56,570.44,SUCCESS,pass,pass
sample_024,1.046,1.0608,2.1614,127,2.1483,4.6739,15.4874,5.7322,5.9065,11.3785,1.264,5.404,0.735,12.12,20.0,30.0,55.0,241.17,52.45,2.55,565.77,454.34,SUCCESS,pass,pass
sample_025,1.9972,2.0104,1.8502,106,2.421,6.3393,19.295,13.579,3.1914,16.3158,0.503,6.754,0.846,4.0,20.0,30.0,55.0,226.35,54.5,0.5,890.86,744.44,SUCCESS,fail,pass
sample_026,1.7353,1.786,2.812,89,0.5679,6.9418,22.3722,10.1974,7.657,13.5287,1.103,5.71,0.605,9.23,20.0,30.0,55.0,229.18,54.56,0.44,689.19,656.51,SUCCESS,pass,pass
sample_027,2.8973,2.9095,1.7408,88,1.1467,8.1239,23.7296,6.6411,5.109,16.9727,0.629,2.283,0.715,12.21,20.0,30.0,55.0,224.84,54.66,0.34,816.84,744.43,SUCCESS,fail,pass
sample_028,2.3279,2.336,0.8119,130,0.8246,5.8657,16.4296,12.321,7.4168,4.9889,1.264,5.275,0.304,6.85,20.0,30.0,55.0,227.5,54.84,0.16,953.47,905.23,SUCCESS,fail,pass
sample_029,1.0854,1.1169,2.8951,102,1.4322,5.6156,19.0793,3.7898,4.9011,7.2889,0.873,3.393,0.382,14.78,20.0,30.0,55.0,244.19,49.36,5.64,501.77,458.7,SUCCESS,pass,pass
sample_030,2.6362,2.7078,2.7485,75,0.984,8.826,27.1367,6.762,5.1598,24.8573,0.585,2.497,0.916,12.25,20.0,30.0,55.0,221.13,54.59,0.41,774.45,711.3,SUCCESS,fail,pass
sample_031,1.9821,1.9883,2.2305,97,2.3009,6.7189,20.8767,7.5351,5.5893,18.6794,0.832,3.79,0.895,10.16,20.0,30.0,55.0,228.05,54.48,0.52,752.07,607.32,SUCCESS,fail,pass
sample_032,2.7017,2.7223,2.4577,79,1.9712,8.5307,25.9143,14.0288,10.1264,25.5166,1.187,5.153,0.985,4.0,20.0,30.0,55.0,210.03,54.9,0.1,1000.38,888.41,SUCCESS,fail,pass
sample_033,2.1427,2.1567,1.8553,102,0.738,6.6554,20.1191,11.7551,9.8453,11.4088,1.479,5.451,0.567,7.51,20.0,30.0,55.0,225.97,54.8,0.2,811.28,764.42,SUCCESS,fail,pass
sample_034,2.4808,2.5214,2.5939,80,1.1234,8.2572,25.4235,12.2472,4.331,15.6474,0.525,4.857,0.615,6.63,20.0,30.0,55.0,220.96,54.71,0.29,886.78,818.65,SUCCESS,fail,pass
sample_035,2.0932,2.0934,0.9156,136,1.695,5.4674,15.5652,14.305,5.6866,5.3849,1.04,6.833,0.346,4.0,20.0,30.0,55.0,228.45,54.81,0.19,958.4,859.7,SUCCESS,fail,pass
sample_036,1.5125,1.5288,1.4802,136,2.9235,4.9028,15.0006,11.6599,6.8673,12.753,1.401,7.627,0.85,5.42,20.0,30.0,55.0,231.65,54.6,0.4,800.56,614.74,SUCCESS,fail,pass
sample_037,2.8167,2.8324,2.2197,81,2.4316,8.4974,25.4518,13.5684,6.1931,12.6433,0.729,4.79,0.497,4.0,20.0,30.0,55.0,215.2,54.86,0.14,1026.46,890.27,SUCCESS,fail,pass
sample_038,1.2391,1.247,1.343,158,1.5979,4.1512,12.843,3.3613,4.5455,8.3748,1.095,2.696,0.652,15.04,20.0,30.0,55.0,247.26,51.6,3.4,505.31,423.82,SUCCESS,pass,pass
sample_039,0.8578,0.8802,2.3936,125,2.0815,4.5511,15.5375,5.3435,4.1724,8.0232,0.917,6.071,0.516,12.57,20.0,30.0,55.0,244.49,49.96,5.04,529.96,417.94,SUCCESS,pass,pass
sample_040,1.0002,1.0099,2.0902,132,2.1959,4.4862,14.89,4.1077,5.9313,10.7831,1.322,4.067,0.724,13.7,20.0,30.0,55.0,243.39,50.57,4.43,529.99,450.53,SUCCESS,pass,pass
sample_041,1.4462,1.4704,1.9684,119,2.8642,5.3265,16.8668,4.3833,3.7203,12.9148,0.698,2.981,0.766,12.75,20.0,30.0,55.0,238.72,52.81,2.19,631.29,444.59,SUCCESS,pass,pass
sample_042,1.2964,1.2995,1.0523,174,2.7154,3.9367,11.8293,5.7519,3.8719,9.3895,0.984,4.426,0.794,11.53,20.0,30.0,55.0,242.48,53.56,1.44,647.73,461.13,SUCCESS,pass,pass
sample_043,2.4129,2.4358,1.4247,106,1.8405,6.7648,19.7205,10.1395,5.3402,8.8762,0.789,4.163,0.45,8.02,20.0,30.0,55.0,227.27,54.75,0.25,889.0,777.42,SUCCESS,fail,pass
sample_044,1.6515,1.673,1.5747,126,2.5981,5.3148,16.2141,12.9026,7.4045,6.7091,1.393,7.712,0.414,4.5,20.0,30.0,55.0,230.75,54.69,0.31,830.35,667.53,SUCCESS,fail,pass
sample_045,1.869,1.8767,1.2235,132,1.2757,5.3529,15.7568,13.3456,6.4833,15.0291,1.211,7.111,0.954,5.38,20.0,30.0,55.0,229.52,54.77,0.23,844.85,765.54,SUCCESS,fail,pass
sample_046,1.6145,1.6264,1.7837,120,2.2804,5.4503,16.8945,12.8804,5.2578,5.9286,0.965,7.919,0.351,4.84,20.0,30.0,55.0,232.79,54.59,0.41,798.99,653.62,SUCCESS,fail,pass
sample_047,0.8522,0.8731,2.6547,116,2.0173,4.8288,16.6676,2.6649,5.0074,10.7999,1.037,3.052,0.648,15.32,20.0,30.0,55.0,245.34,39.74,15.26,481.6,442.02,SUCCESS,pass,pass
sample_048,1.3266,1.3394,2.5212,106,1.7606,5.6683,18.624,7.2898,6.5908,12.2662,1.163,5.443,0.659,10.95,20.0,30.0,55.0,236.04,53.8,1.2,616.37,522.45,SUCCESS,pass,pass
sample_049,2.8608,2.9102,2.205,80,1.6613,8.646,25.8123,12.567,5.6726,24.8364,0.656,4.318,0.962,5.77,20.0,30.0,55.0,213.52,54.85,0.15,996.84,902.46,SUCCESS,fail,pass
sample_050,2.2647,2.2975,2.8177,80,2.5037,8.0333,25.1997,13.4963,7.4865,18.6108,0.932,5.874,0.739,4.0,20.0,30.0,55.0,216.01,54.82,0.18,927.44,785.06,SUCCESS,fail,pass
sample_051,0.9459,0.947,0.8799,224,0.8288,2.9955,9.1263,2.7277,3.4205,3.8153,1.142,2.88,0.418,16.44,20.0,30.0,55.0,255.51,47.42,7.58,406.57,381.99,SUCCESS,pass,pass
sample_052,1.8176,1.8294,0.9171,149,2.7084,4.909,14.1258,13.1638,4.3255,6.7356,0.881,7.196,0.477,4.13,20.0,30.0,55.0,231.27,54.68,0.32,914.42,752.81,SUCCESS,fail,pass
sample_053,2.4508,2.4618,1.8009,96,1.5192,7.2417,21.5469,14.4808,5.9291,10.0072,0.819,5.882,0.464,4.0,20.0,30.0,55.0,221.92,54.84,0.16,958.84,870.31,SUCCESS,fail,pass
sample_054,1.1503,1.1666,1.9102,133,0.6481,4.6168,14.9424,4.099,6.4611,9.0271,1.399,3.514,0.604,15.25,20.0,30.0,55.0,246.6,51.83,3.17,483.17,470.49,SUCCESS,pass,pass
sample_055,2.0253,2.0274,1.4405,118,0.6215,5.9161,17.5543,11.6803,7.385,12.3117,1.248,5.761,0.701,7.7,20.0,30.0,55.0,229.78,54.77,0.23,798.36,758.64,SUCCESS,fail,pass
sample_056,1.4115,1.4209,1.1367,160,1.9468,4.2888,12.872,9.9948,4.5704,6.9217,1.066,7.034,0.538,8.06,20.0,30.0,55.0,239.23,54.37,0.63,716.77,586.95,SUCCESS,fail,pass
sample_057,1.4969,1.5026,1.5513,134,1.267,4.927,15.1755,3.7258,2.4736,5.87,0.502,2.48,0.387,15.01,20.0,30.0,55.0,247.78,51.42,3.58,524.22,433.4,SUCCESS,pass,pass
sample_058,2.1327,2.1926,2.9874,79,2.1775,8.001,25.3846,4.5972,10.6675,19.3465,1.333,2.097,0.762,13.23,20.0,30.0,55.0,223.36,54.2,0.8,710.86,661.85,SUCCESS,fail,pass
sample_059,2.5944,2.597,2.3334,83,1.1635,8.1255,24.6713,12.3907,6.4089,20.8154,0.789,4.771,0.844,6.45,20.0,30.0,55.0,217.73,54.83,0.17,913.4,843.87,SUCCESS,fail,pass
sample_060,1.7418,1.7723,2.0167,108,0.9946,6.0211,18.7369,9.2481,4.4972,16.4722,0.747,5.218,0.879,9.76,20.0,30.0,55.0,233.42,54.43,0.57,691.99,624.72,SUCCESS,pass,pass
sample_061,1.9687,1.9962,1.6252,113,1.4317,6.057,18.2101,9.2249,3.4398,17.9066,0.568,4.621,0.983,9.34,20.0,30.0,55.0,231.99,54.41,0.59,763.68,670.65,SUCCESS,fail,pass
sample_062,2.3499,2.3764,1.2774,112,1.1079,6.4734,18.7351,14.8921,8.1874,15.4093,1.265,6.267,0.822,4.0,20.0,30.0,55.0,221.08,54.88,0.12,974.17,910.11,SUCCESS,fail,pass
sample_063,2.7167,2.7399,1.1206,106,2.8305,7.0689,20.0246,8.937,9.9091,10.9967,1.402,3.262,0.549,8.23,20.0,30.0,55.0,220.32,54.85,0.15,966.86,802.51,SUCCESS,fail,pass
sample_064,2.9905,2.9923,2.6913,72,2.4597,9.3655,28.4391,13.5403,13.9852,8.8549,1.493,4.525,0.311,4.0,20.0,30.0,55.0,209.68,54.91,0.09,1041.67,913.89,SUCCESS,fail,fail
sample_065,1.1249,1.1538,2.4046,115,2.9286,5.144,17.0857,4.5349,3.2786,15.7522,0.637,3.93,0.922,12.54,20.0,30.0,55.0,239.26,51.26,3.74,599.08,422.25,SUCCESS,pass,pass
sample_066,2.8706,2.9255,2.6045,74,1.8337,9.1264,27.6845,8.8289,6.6305,25.6516,0.727,3.018,0.927,9.34,20.0,30.0,55.0,214.16,54.79,0.21,909.06,799.58,SUCCESS,fail,pass
sample_067,2.8999,2.9116,1.0614,103,0.6132,7.3666,20.6996,15.3868,7.7272,8.0681,1.049,5.285,0.39,4.0,20.0,30.0,55.0,217.44,54.91,0.09,1104.4,1071.5,SUCCESS,fail,pass
sample_068,1.1719,1.1902,2.22,120,2.6628,5.0141,16.4583,6.8042,4.5286,5.4588,0.903,5.717,0.332,10.53,20.0,30.0,55.0,240.48,53.13,1.87,633.49,469.75,SUCCESS,pass,pass
sample_069,1.3286,1.3555,2.3988,109,2.1278,5.5653,18.1644,9.9412,7.666,15.2444,1.377,7.334,0.839,7.93,20.0,30.0,55.0,232.25,54.28,0.72,685.35,563.24,SUCCESS,pass,pass
sample_070,0.8062,0.8103,1.4259,183,2.8369,3.3177,10.8221,4.2277,4.3256,7.4348,1.304,5.218,0.687,12.94,20.0,30.0,55.0,247.24,49.02,5.98,547.96,393.17,SUCCESS,pass,pass
sample_071,1.9651,1.9814,1.0056,137,2.5412,5.3308,15.3549,12.4717,6.5343,10.3441,1.226,6.294,0.674,4.99,20.0,30.0,55.0,227.92,54.79,0.21,918.51,767.07,SUCCESS,fail,pass
sample_072,1.5461,1.5742,2.2864,106,2.2676,5.9031,18.8588,7.4933,4.0538,14.3259,0.687,4.76,0.76,10.24,20.0,30.0,55.0,234.29,54.0,1.0,683.8,539.05,SUCCESS,pass,pass
sample_073,0.9982,1.0181,2.1057,131,0.8054,4.5209,15.0041,2.4942,4.4309,6.2812,0.98,2.45,0.419,16.7,20.0,30.0,55.0,251.28,43.33,11.67,444.55,428.47,SUCCESS,pass,pass
sample_074,2.2671,2.3012,2.4572,86,0.9417,7.6369,23.6055,5.1123,6.3059,13.4727,0.826,2.222,0.571,13.95,20.0,30.0,55.0,231.04,54.27,0.73,653.94,597.71,SUCCESS,pass,pass
sample_075,1.6777,1.6952,1.9586,112,1.4912,5.7922,18.0538,10.0697,3.1678,10.9268,0.547,5.94,0.605,8.44,20.0,30.0,55.0,235.15,54.18,0.82,720.07,620.81,SUCCESS,fail,pass
sample_076,2.5713,2.5737,1.7339,95,2.4989,7.4039,21.8597,13.5011,4.1648,7.5488,0.563,5.246,0.345,4.0,20.0,30.0,55.0,222.71,54.74,0.26,997.07,854.84,SUCCESS,fail,pass
sample_077,2.4483,2.4549,1.3342,108,2.0501,6.7037,19.4194,13.9499,7.093,15.3763,1.058,5.682,0.792,4.0,20.0,30.0,55.0,220.14,54.87,0.13,998.11,881.36,SUCCESS,fail,pass
sample_078,2.4902,2.5162,2.7302,78,1.1034,8.3992,26.0056,9.9477,5.1085,24.7712,0.608,3.953,0.953,8.95,20.0,30.0,55.0,219.58,54.71,0.29,836.01,767.44,SUCCESS,fail,pass
sample_079,2.1198,2.1422,1.5115,112,0.7188,6.2393,18.5009,5.7939,6.8656,9.4626,1.1,2.705,0.511,13.49,20.0,30.0,55.0,235.86,54.44,0.56,654.66,604.95,SUCCESS,pass,pass
sample_080,1.709,1.76,2.838,89,2.9754,6.9158,22.3462,9.6868,9.8348,19.2945,1.422,5.504,0.863,7.34,20.0,30.0,55.0,222.51,54.58,0.42,790.22,638.8,SUCCESS,fail,pass
sample_081,1.0853,1.1073,2.9444,101,1.226,5.6506,19.2476,7.5971,4.4236,18.6668,0.783,6.861,0.97,11.18,20.0,30.0,55.0,237.49,52.97,2.03,561.24,497.51,SUCCESS,pass,pass
sample_082,2.7072,2.7199,0.8385,115,1.882,6.7101,18.6519,12.2874,5.958,13.6819,0.888,4.518,0.734,5.83,20.0,30.0,55.0,220.15,54.87,0.13,1062.1,958.9,SUCCESS,fail,pass
sample_083,1.7997,1.8146,1.1944,136,1.7385,5.1886,15.2864,6.2916,7.7057,6.9825,1.485,3.467,0.457,11.97,20.0,30.0,55.0,237.21,54.41,0.59,685.55,570.91,SUCCESS,pass,pass
sample_084,1.4093,1.4098,1.5992,136,1.6214,4.7838,14.8816,6.0043,6.0875,9.3974,1.273,4.259,0.631,12.37,20.0,30.0,55.0,240.95,53.83,1.17,597.38,491.74,SUCCESS,pass,pass
sample_085,2.1863,2.2024,1.8096,102,1.2682,6.7011,20.1649,8.1674,7.9962,9.855,1.193,3.708,0.489,10.56,20.0,30.0,55.0,229.71,54.67,0.33,757.5,674.77,SUCCESS,fail,pass
sample_086,1.7533,1.771,2.2807,101,2.2834,6.3142,19.9113,11.6202,6.6832,7.4196,1.058,6.561,0.373,6.1,20.0,30.0,55.0,229.46,54.62,0.38,795.17,655.38,SUCCESS,fail,pass
sample_087,2.7219,2.7488,1.7482,91,1.8034,7.7913,22.8825,14.1966,8.7442,20.2212,1.122,5.165,0.884,4.0,20.0,30.0,55.0,213.89,54.9,0.1,1025.53,924.41,SUCCESS,fail,pass
sample_088,0.8601,0.8638,1.6315,164,1.4326,3.6618,12.0356,2.0029,3.5346,4.2728,0.965,2.319,0.355,16.56,20.0,30.0,55.0,254.24,30.72,24.28,421.37,392.38,SUCCESS,pass,pass
sample_089,1.4668,1.4674,1.3354,146,0.7029,4.6104,14.0166,5.912,5.6915,7.8126,1.234,4.029,0.557,13.39,20.0,30.0,55.0,243.89,53.93,1.07,556.5,508.6,SUCCESS,pass,pass
sample_090,2.0723,2.0954,1.0524,130,1.5604,5.6252,16.189,14.4396,3.6924,15.1111,0.656,6.891,0.933,4.0,20.0,30.0,55.0,227.72,54.68,0.32,941.87,850.2,SUCCESS,fail,pass
sample_091,2.2022,2.2289,1.4578,111,2.485,6.3628,18.7349,9.5398,6.4108,11.2983,1.008,4.28,0.603,7.98,20.0,30.0,55.0,227.12,54.74,0.26,864.91,712.17,SUCCESS,fail,pass
sample_092,2.9794,2.9819,0.9155,105,0.8742,7.352,20.4311,15.1258,4.029,15.5032,0.548,5.073,0.759,4.0,20.0,30.0,55.0,217.38,54.82,0.18,1147.21,1101.64,SUCCESS,fail,pass
sample_093,1.9834,1.9869,1.8022,108,0.9612,6.2357,18.9514,7.4475,4.9059,14.2366,0.787,3.748,0.751,11.59,20.0,30.0,55.0,233.94,54.45,0.55,687.58,622.37,SUCCESS,pass,pass
sample_094,2.3362,2.3684,2.9461,77,1.0305,8.3277,26.1629,7.4569,4.9694,17.6817,0.597,3.148,0.676,11.51,20.0,30.0,55.0,224.96,54.51,0.49,741.47,678.36,SUCCESS,fail,pass
sample_095,0.9702,1.0004,2.5893,114,2.6656,5.0255,17.072,5.7729,5.793,7.6973,1.153,5.771,0.451,11.56,20.0,30.0,55.0,240.34,51.68,3.32,587.95,459.27,SUCCESS,pass,pass
sample_096,2.6144,2.6216,0.8172,119,0.6228,6.4776,18.018,15.3772,6.104,12.8845,0.942,5.866,0.715,4.0,20.0,30.0,55.0,220.02,54.89,0.11,1090.28,1056.63,SUCCESS,fail,pass
sample_097,1.1211,1.143,1.9571,132,1.6497,4.6193,15.0231,6.949,5.929,6.0929,1.284,6.079,0.406,11.4,20.0,30.0,55.0,242.75,53.31,1.69,572.86,475.42,SUCCESS,pass,pass
sample_098,1.5813,1.6129,2.0408,112,1.3408,5.7099,17.9716,3.5989,8.0651,11.5006,1.412,2.231,0.64,15.06,20.0,30.0,55.0,239.41,53.03,1.97,557.8,532.53,SUCCESS,pass,pass
sample_099,2.8218,2.8942,2.7895,72,1.1566,9.2673,28.341,14.8434,7.5979,28.0665,0.82,5.129,0.99,4.0,20.0,30.0,55.0,208.54,54.9,0.1,1009.72,945.09,SUCCESS,fail,fail
sample_100,1.1566,1.1727,2.1815,122,2.5216,4.9339,16.1905,3.994,3.6688,5.3645,0.744,3.406,0.331,13.48,20.0,30.0,55.0,244.55,50.57,4.43,566.36,414.46,SUCCESS,pass,pass
sample_101,2.3664,2.4045,2.7107,80,2.0796,8.1404,25.3067,13.9204,7.2775,20.6262,0.894,5.789,0.815,4.0,20.0,30.0,55.0,215.28,54.84,0.16,938.61,817.29,SUCCESS,fail,pass
sample_102,1.8079,1.8218,1.4784,124,2.1568,5.5223,16.5974,4.8377,7.6726,15.2404,1.389,2.655,0.918,13.01,20.0,30.0,55.0,234.94,54.18,0.82,656.04,528.67,SUCCESS,pass,pass
sample_103,1.2661,1.2713,2.4154,111,2.9784,5.4052,17.7773,5.9388,3.3948,9.1816,0.628,4.671,0.516,11.08,20.0,30.0,55.0,238.54,52.71,2.29,645.45,459.99,SUCCESS,pass,pass
sample_104,1.4235,1.4507,2.5223,103,1.9217,5.9057,19.2388,7.7706,8.8229,9.726,1.494,5.356,0.506,10.31,20.0,30.0,55.0,233.9,54.11,0.89,653.54,558.4,SUCCESS,pass,pass
sample_105,2.5249,2.5491,1.1711,110,2.7581,6.7206,19.2052,12.5363,8.7586,16.0483,1.303,4.918,0.836,4.71,20.0,30.0,55.0,218.16,54.88,0.12,1023.92,869.14,SUCCESS,fail,pass
sample_106,2.4047,2.4621,2.59,81,2.499,8.1272,25.0815,13.501,6.7726,10.6749,0.833,5.483,0.426,4.0,20.0,30.0,55.0,218.14,54.82,0.18,955.3,809.35,SUCCESS,fail,pass
sample_107,2.7949,2.8192,1.3144,99,1.9897,7.4542,21.326,14.0103,7.0236,13.0986,0.942,4.97,0.614,4.0,20.0,30.0,55.0,216.71,54.89,0.11,1067.31,958.5,SUCCESS,fail,pass
sample_108,2.977,2.9836,1.0681,101,0.568,7.5269,21.1239,15.432,4.0286,15.7433,0.535,5.172,0.745,4.0,20.0,30.0,55.0,217.57,54.82,0.18,1121.06,1090.92,SUCCESS,fail,pass
sample_109,2.4834,2.5192,1.6995,97,1.2613,7.2498,21.4076,8.4635,10.1791,20.2569,1.404,3.36,0.946,10.28,20.0,30.0,55.0,221.83,54.8,0.2,826.14,746.77,SUCCESS,fail,pass
sample_110,2.76,2.8014,1.4613,96,2.3035,7.5813,21.8866,13.6965,5.0269,10.7882,0.663,4.889,0.493,4.0,20.0,30.0,55.0,218.93,54.84,0.16,1053.21,926.3,SUCCESS,fail,pass
sample_111,2.1515,2.1812,2.3157,91,1.438,7.2237,22.315,9.6071,9.1091,22.2894,1.261,4.405,0.999,8.95,20.0,30.0,55.0,222.41,54.74,0.26,791.48,706.09,SUCCESS,fail,pass
sample_112,2.3221,2.3433,1.8324,98,2.038,7.0256,21.0389,13.962,6.911,9.8038,0.984,5.958,0.466,4.0,20.0,30.0,55.0,222.17,54.84,0.16,945.04,825.34,SUCCESS,fail,pass
sample_113,1.2794,1.2902,0.8301,193,0.7434,3.6677,10.7833,8.4804,4.9903,6.6703,1.361,6.573,0.619,10.78,20.0,30.0,55.0,244.54,54.22,0.78,616.44,564.08,SUCCESS,pass,pass
sample_114,1.8932,1.8943,2.0031,105,1.5272,6.2644,19.3435,5.0574,8.2221,13.6615,1.313,2.67,0.706,13.42,20.0,30.0,55.0,233.79,54.16,0.84,632.55,559.12,SUCCESS,pass,pass
sample_115,0.9444,0.9507,0.9705,213,1.1263,3.105,9.5525,6.8515,3.6188,6.4581,1.165,7.207,0.676,12.02,20.0,30.0,55.0,249.55,52.86,2.14,523.56,442.11,SUCCESS,pass,pass
sample_116,2.0106,2.0499,2.5481,89,2.5777,7.2057,22.6361,8.2875,5.1356,12.8182,0.713,4.043,0.566,9.13,20.0,30.0,55.0,227.09,54.49,0.51,788.06,630.12,SUCCESS,fail,pass
sample_117,1.5237,1.5272,1.165,152,1.7507,4.5461,13.581,5.7111,6.7098,7.1665,1.476,3.74,0.528,12.54,20.0,30.0,55.0,241.14,54.07,0.93,625.71,508.75,SUCCESS,pass,pass
sample_118,1.2037,1.2174,2.8748,100,0.9353,5.8061,19.5391,6.8678,6.3433,16.9776,1.093,5.641,0.869,12.2,20.0,30.0,55.0,237.05,53.31,1.69,553.86,513.45,SUCCESS,pass,pass
sample_119,0.8138,0.8142,1.593,170,1.7057,3.5134,11.5917,4.0244,3.1493,3.9153,0.896,4.943,0.338,14.27,20.0,30.0,55.0,251.51,46.97,8.03,473.43,377.95,SUCCESS,pass,pass
sample_120,1.74,1.7403,2.9634,87,2.1899,7.0146,22.7997,7.4259,8.4239,9.1676,1.201,4.267,0.402,10.38,20.0,30.0,55.0,229.82,54.27,0.73,703.75,597.8,SUCCESS,fail,pass
sample_121,1.6781,1.6895,2.0995,108,1.106,5.9383,18.6541,3.565,3.4504,15.5516,0.581,2.11,0.834,15.33,20.0,30.0,55.0,241.07,52.46,2.54,529.31,456.4,SUCCESS,pass,pass
