sample_id,tw_inner_mm,a_min_nominal_mm,b_rib_mm,N_channels,a_throat_actual_mm,a1_chamber_mm,a2_exit_mm,h_min_throat_mm,h1_chamber_mm,h2_exit_mm,AR_chamber,AR_throat,AR_exit,t_jacket_mm,t_total_mm
sample_075,1.4912,1.6777,1.9586,112,1.6952,5.7922,18.0538,10.0697,3.1678,10.9268,0.547,5.94,0.605,8.44,20.0
sample_076,2.4989,2.5713,1.7339,95,2.5737,7.4039,21.8597,13.5011,4.1648,7.5488,0.563,5.246,0.345,4.0,20.0
sample_077,2.0501,2.4483,1.3342,108,2.4549,6.7037,19.4194,13.9499,7.093,15.3763,1.058,5.682,0.792,4.0,20.0
sample_078,1.1034,2.4902,2.7302,78,2.5162,8.3992,26.0056,9.9477,5.1085,24.7712,0.608,3.953,0.953,8.95,20.0
sample_079,0.7188,2.1198,1.5115,112,2.1422,6.2393,18.5009,5.7939,6.8656,9.4626,1.1,2.705,0.511,13.49,20.0
sample_080,2.9754,1.709,2.838,89,1.76,6.9158,22.3462,9.6868,9.8348,19.2945,1.422,5.504,0.863,7.34,20.0
sample_081,1.226,1.0853,2.9444,101,1.1073,5.6506,19.2476,7.5971,4.4236,18.6668,0.783,6.861,0.97,11.18,20.0
sample_082,1.882,2.7072,0.8385,115,2.7199,6.7101,18.6519,12.2874,5.958,13.6819,0.888,4.518,0.734,5.83,20.0
sample_083,1.7385,1.7997,1.1944,136,1.8146,5.1886,15.2864,6.2916,7.7057,6.9825,1.485,3.467,0.457,11.97,20.0
sample_084,1.6214,1.4093,1.5992,136,1.4098,4.7838,14.8816,6.0043,6.0875,9.3974,1.273,4.259,0.631,12.37,20.0
sample_085,1.2682,2.1863,1.8096,102,2.2024,6.7011,20.1649,8.1674,7.9962,9.855,1.193,3.708,0.489,10.56,20.0
sample_086,2.2834,1.7533,2.2807,101,1.771,6.3142,19.9113,11.6202,6.6832,7.4196,1.058,6.561,0.373,6.1,20.0
sample_087,1.8034,2.7219,1.7482,91,2.7488,7.7913,22.8825,14.1966,8.7442,20.2212,1.122,5.165,0.884,4.0,20.0
sample_088,1.4326,0.8601,1.6315,164,0.8638,3.6618,12.0356,2.0029,3.5346,4.2728,0.965,2.319,0.355,16.56,20.0
sample_089,0.7029,1.4668,1.3354,146,1.4674,4.6104,14.0166,5.912,5.6915,7.8126,1.234,4.029,0.557,13.39,20.0
sample_090,1.5604,2.0723,1.0524,130,2.0954,5.6252,16.189,14.4396,3.6924,15.1111,0.656,6.891,0.933,4.0,20.0
sample_091,2.485,2.2022,1.4578,111,2.2289,6.3628,18.7349,9.5398,6.4108,11.2983,1.008,4.28,0.603,7.98,20.0
sample_092,0.8742,2.9794,0.9155,105,2.9819,7.352,20.4311,15.1258,4.029,15.5032,0.548,5.073,0.759,4.0,20.0
sample_093,0.9612,1.9834,1.8022,108,1.9869,6.2357,18.9514,7.4475,4.9059,14.2366,0.787,3.748,0.751,11.59,20.0
sample_094,1.0305,2.3362,2.9461,77,2.3684,8.3277,26.1629,7.4569,4.9694,17.6817,0.597,3.148,0.676,11.51,20.0
sample_095,2.6656,0.9702,2.5893,114,1.0004,5.0255,17.072,5.7729,5.793,7.6973,1.153,5.771,0.451,11.56,20.0
sample_096,0.6228,2.6144,0.8172,119,2.6216,6.4776,18.018,15.3772,6.104,12.8845,0.942,5.866,0.715,4.0,20.0
sample_097,1.6497,1.1211,1.9571,132,1.143,4.6193,15.0231,6.949,5.929,6.0929,1.284,6.079,0.406,11.4,20.0
sample_098,1.3408,1.5813,2.0408,112,1.6129,5.7099,17.9716,3.5989,8.0651,11.5006,1.412,2.231,0.64,15.06,20.0
sample_099,1.1566,2.8218,2.7895,72,2.8942,9.2673,28.341,14.8434,7.5979,28.0665,0.82,5.129,0.99,4.0,20.0
sample_100,2.5216,1.1566,2.1815,122,1.1727,4.9339,16.1905,3.994,3.6688,5.3645,0.744,3.406,0.331,13.48,20.0
sample_101,2.0796,2.3664,2.7107,80,2.4045,8.1404,25.3067,13.9204,7.2775,20.6262,0.894,5.789,0.815,4.0,20.0
sample_102,2.1568,1.8079,1.4784,124,1.8218,5.5223,16.5974,4.8377,7.6726,15.2404,1.389,2.655,0.918,13.01,20.0
sample_103,2.9784,1.2661,2.4154,111,1.2713,5.4052,17.7773,5.9388,3.3948,9.1816,0.628,4.671,0.516,11.08,20.0
sample_104,1.9217,1.4235,2.5223,103,1.4507,5.9057,19.2388,7.7706,8.8229,9.726,1.494,5.356,0.506,10.31,20.0
sample_105,2.7581,2.5249,1.1711,110,2.5491,6.7206,19.2052,12.5363,8.7586,16.0483,1.303,4.918,0.836,4.71,20.0
sample_106,2.499,2.4047,2.59,81,2.4621,8.1272,25.0815,13.501,6.7726,10.6749,0.833,5.483,0.426,4.0,20.0
sample_107,1.9897,2.7949,1.3144,99,2.8192,7.4542,21.326,14.0103,7.0236,13.0986,0.942,4.97,0.614,4.0,20.0
sample_108,0.568,2.977,1.0681,101,2.9836,7.5269,21.1239,15.432,4.0286,15.7433,0.535,5.172,0.745,4.0,20.0
sample_109,1.2613,2.4834,1.6995,97,2.5192,7.2498,21.4076,8.4635,10.1791,20.2569,1.404,3.36,0.946,10.28,20.0
sample_110,2.3035,2.76,1.4613,96,2.8014,7.5813,21.8866,13.6965,5.0269,10.7882,0.663,4.889,0.493,4.0,20.0
sample_111,1.438,2.1515,2.3157,91,2.1812,7.2237,22.315,9.6071,9.1091,22.2894,1.261,4.405,0.999,8.95,20.0
sample_112,2.038,2.3221,1.8324,98,2.3433,7.0256,21.0389,13.962,6.911,9.8038,0.984,5.958,0.466,4.0,20.0
sample_113,0.7434,1.2794,0.8301,193,1.2902,3.6677,10.7833,8.4804,4.9903,6.6703,1.361,6.573,0.619,10.78,20.0
sample_114,1.5272,1.8932,2.0031,105,1.8943,6.2644,19.3435,5.0574,8.2221,13.6615,1.313,2.67,0.706,13.42,20.0
sample_115,1.1263,0.9444,0.9705,213,0.9507,3.105,9.5525,6.8515,3.6188,6.4581,1.165,7.207,0.676,12.02,20.0
sample_116,2.5777,2.0106,2.5481,89,2.0499,7.2057,22.6361,8.2875,5.1356,12.8182,0.713,4.043,0.566,9.13,20.0
sample_117,1.7507,1.5237,1.165,152,1.5272,4.5461,13.581,5.7111,6.7098,7.1665,1.476,3.74,0.528,12.54,20.0
sample_118,0.9353,1.2037,2.8748,100,1.2174,5.8061,19.5391,6.8678,6.3433,16.9776,1.093,5.641,0.869,12.2,20.0
sample_119,1.7057,0.8138,1.593,170,0.8142,3.5134,11.5917,4.0244,3.1493,3.9153,0.896,4.943,0.338,14.27,20.0
sample_120,2.1899,1.74,2.9634,87,1.7403,7.0146,22.7997,7.4259,8.4239,9.1676,1.201,4.267,0.402,10.38,20.0
sample_121,1.106,1.6781,2.0995,108,1.6895,5.9383,18.6541,3.565,3.4504,15.5516,0.581,2.11,0.834,15.33,20.0
sample_122,2.7815,1.4381,2.6981,98,1.4777,6.16,20.1733,11.7913,4.6773,15.6629,0.759,7.98,0.776,5.43,20.0
sample_123,0.7963,1.0913,2.2292,123,1.0978,4.8284,15.9935,3.2782,2.9354,12.8798,0.608,2.986,0.805,15.93,20.0
sample_124,2.8894,2.5893,2.4246,81,2.6275,8.2926,25.2469,6.4512,8.6142,22.9178,1.039,2.455,0.908,10.66,20.0
sample_125,2.7117,1.9563,1.3516,123,1.9754,5.706,16.8711,10.9858,6.4716,5.2974,1.134,5.561,0.314,6.3,20.0
sample_126,1.4041,2.733,1.9233,87,2.7804,8.0548,23.8399,14.5959,4.9065,16.8692,0.609,5.25,0.708,4.0,20.0
sample_127,1.727,1.2322,1.6182,143,1.2435,4.4524,14.0559,9.7641,2.4859,12.2741,0.558,7.852,0.873,8.51,20.0
sample_128,2.6916,2.9076,1.7848,87,2.9188,8.1932,23.9783,6.836,5.7782,13.8635,0.705,2.342,0.578,10.47,20.0
sample_129,0.6649,1.3157,1.4237,149,1.3227,4.4024,13.6192,5.7521,5.732,12.7171,1.302,4.349,0.934,13.58,20.0
sample_130,2.7657,1.7873,1.0488,144,1.793,4.9796,14.5164,8.4927,6.1276,11.6248,1.231,4.737,0.801,8.74,20.0
sample_131,2.3604,1.4183,0.8798,178,1.4192,3.9971,11.7123,10.5319,2.0686,10.5766,0.518,7.421,0.903,7.11,20.0
sample_132,1.941,1.8582,2.0281,105,1.8693,6.2394,19.3185,4.9077,9.059,11.8284,1.452,2.625,0.612,13.15,20.0
sample_133,1.5481,1.5139,2.901,92,1.5471,6.5347,21.462,3.2185,6.428,16.4714,0.984,2.08,0.767,15.23,20.0
sample_134,2.1024,0.9831,2.3219,123,1.0051,4.7357,15.9008,6.4663,3.2456,4.7782,0.685,6.434,0.301,11.43,20.0
sample_135,2.2352,1.9616,1.2715,126,1.9763,5.6181,16.5173,13.539,4.2362,16.0427,0.754,6.851,0.971,4.23,20.0
sample_136,1.7936,2.5414,2.4611,81,2.591,8.2561,25.2104,14.2064,6.818,18.8866,0.826,5.483,0.749,4.0,20.0
sample_137,2.5395,2.1221,1.8275,103,2.1455,6.6005,19.9336,10.8178,7.7623,7.2206,1.176,5.042,0.362,6.64,20.0
sample_138,1.2864,2.3685,1.5657,104,2.3691,6.7813,19.9861,14.7136,7.5233,8.5901,1.109,6.211,0.43,4.0,20.0
sample_139,0.5069,2.8111,2.1822,81,2.8699,8.5349,25.4893,8.4982,12.0502,16.6051,1.412,2.961,0.651,10.99,20.0
sample_140,1.136,0.8908,2.8763,108,0.9128,5.1615,17.8773,3.6916,6.6919,8.2075,1.296,4.044,0.459,15.17,20.0
sample_141,2.9185,1.5977,0.9735,159,1.6002,4.4862,13.1233,5.7616,6.2527,6.3176,1.394,3.6,0.481,11.32,20.0
sample_142,0.9706,1.0251,2.5927,113,1.0288,5.0895,17.2427,5.5735,4.5305,8.9961,0.89,5.418,0.522,13.46,20.0
sample_143,2.3766,2.6687,1.1373,107,2.6872,6.9757,19.8103,13.6234,6.4115,12.5109,0.919,5.07,0.632,4.0,20.0
sample_144,1.058,2.0986,2.672,85,2.1423,7.5408,23.6973,7.1548,7.8322,8.8519,1.039,3.34,0.374,11.79,20.0
sample_145,0.824,2.3303,2.443,85,2.3714,7.7698,23.9263,10.7423,8.4567,20.0625,1.088,4.53,0.839,8.43,20.0
sample_146,2.1013,2.3441,2.7105,80,2.4048,8.1406,25.3069,13.1999,11.8518,9.5323,1.456,5.489,0.377,4.7,20.0
sample_147,2.965,2.6531,1.2579,104,2.6769,7.0891,20.2939,13.035,6.1515,16.2919,0.868,4.87,0.803,4.0,20.0
sample_148,0.8191,2.4862,2.9635,75,2.4928,8.611,26.9217,11.9013,11.8082,8.311,1.371,4.774,0.309,7.28,20.0
sample_149,1.496,1.5778,2.2064,108,1.5826,5.8314,18.5472,4.0259,5.9391,6.2686,1.018,2.544,0.338,14.48,20.0
sample_150,1.7668,1.0809,1.2225,177,1.0894,3.6819,11.4407,6.6588,3.9399,7.4587,1.07,6.112,0.652,11.57,20.0
sample_151,1.0623,0.8787,1.0125,216,0.8821,3.0065,9.3643,4.6469,1.5293,7.9722,0.509,5.268,0.851,14.29,20.0
sample_152,0.9024,1.946,1.0346,137,1.9524,5.3018,15.3259,5.8943,4.2859,8.1209,0.808,3.019,0.53,13.2,20.0
sample_153,2.7152,2.315,0.8439,129,2.3283,5.8854,16.5312,13.2848,8.445,9.8412,1.435,5.706,0.595,4.0,20.0
sample_154,0.5701,2.862,1.5941,91,2.9028,7.9453,23.0366,15.4299,5.988,14.8584,0.754,5.315,0.645,4.0,20.0
sample_155,2.1846,2.7509,2.3806,79,2.7994,8.6078,25.9914,10.7807,9.7038,24.1179,1.127,3.851,0.928,7.03,20.0
sample_156,2.6218,1.783,2.7989,89,1.7991,6.9549,22.3853,12.1909,8.0123,10.8126,1.152,6.776,0.483,5.19,20.0
sample_157,1.641,1.1413,2.2898,119,1.149,5.0051,16.5454,4.7757,3.4807,13.0539,0.695,4.156,0.789,13.58,20.0
sample_158,0.6829,2.1616,1.4173,114,2.1723,6.1975,18.244,4.7606,4.5792,10.2894,0.739,2.191,0.564,14.56,20.0
sample_159,1.1387,1.8848,1.8865,108,1.9026,6.1514,18.8672,6.8689,8.1558,16.621,1.326,3.61,0.881,11.99,20.0
sample_160,2.3949,0.9512,1.6962,154,0.9611,3.9407,12.8583,6.6795,3.8398,11.9605,0.974,6.95,0.93,10.93,20.0
sample_161,1.5011,1.5294,2.6348,98,1.5409,6.2233,20.2366,9.0108,3.6575,15.1036,0.588,5.848,0.746,9.49,20.0
sample_162,1.3049,1.3762,1.4885,142,1.3933,4.6248,14.2959,3.8989,2.9029,14.0223,0.628,2.798,0.981,14.8,20.0
sample_163,2.8724,2.9519,1.9279,83,3.0024,8.5309,25.0768,13.1276,10.8378,11.3902,1.27,4.372,0.454,4.0,20.0
sample_164,2.2972,2.0498,2.0778,99,2.0557,6.6908,20.5625,6.6995,6.1327,8.6514,0.917,3.259,0.421,11.0,20.0
sample_165,1.9605,1.3423,2.4832,106,1.3773,5.7063,18.662,6.1969,6.8726,13.3535,1.204,4.499,0.716,11.84,20.0
sample_166,2.111,2.959,2.9158,69,3.0149,9.6652,29.5681,8.1829,7.9662,17.72,0.824,2.714,0.599,9.71,20.0
sample_167,1.9859,0.9615,0.9892,209,0.9688,3.1644,9.7352,5.9804,2.1243,4.1346,0.671,6.173,0.425,12.03,20.0
sample_168,2.7707,1.8862,1.9744,105,1.9229,6.2931,19.3722,10.3633,8.9941,13.2406,1.429,5.389,0.683,6.87,20.0
sample_169,0.6718,2.5123,1.7193,96,2.5434,7.3233,21.6285,15.3282,7.2485,12.3224,0.99,6.027,0.57,4.0,20.0
sample_170,0.9447,2.1563,1.0263,128,2.1707,5.7556,16.4845,9.8644,7.3947,15.7892,1.285,4.544,0.958,9.19,20.0
sample_171,0.5399,1.1485,2.0907,126,1.1571,4.7989,15.6981,7.2374,5.1187,13.7358,1.067,6.255,0.875,12.22,20.0
sample_172,1.8687,1.381,2.6972,100,1.395,5.9837,19.7168,10.0093,3.8599,7.7311,0.645,7.175,0.392,8.12,20.0
sample_173,2.2339,1.7201,2.1983,104,1.7365,6.1487,19.3535,11.694,7.6407,6.7502,1.243,6.734,0.349,6.07,20.0
sample_174,2.261,1.5845,1.3905,137,1.5965,4.9459,14.97,5.1569,3.7734,7.0874,0.763,3.23,0.473,12.58,20.0
sample_175,1.327,1.3239,1.259,158,1.331,4.2352,12.927,3.0107,4.6939,10.6601,1.108,2.262,0.825,15.66,20.0
sample_176,0.7816,2.6972,1.8782,89,2.7198,7.8756,23.306,15.2184,4.5752,12.3296,0.581,5.595,0.529,4.0,20.0
sample_177,2.4216,2.4318,2.2659,87,2.4378,7.7121,23.4972,8.6115,11.5256,7.6578,1.494,3.533,0.326,8.97,20.0
sample_178,1.534,0.9097,1.5242,168,0.9116,3.643,11.8174,2.2047,3.3761,10.9231,0.927,2.419,0.924,16.26,20.0
sample_179,1.2118,2.3385,1.5741,104,2.3607,6.7729,19.9778,12.4222,7.8772,12.4717,1.163,5.262,0.624,6.37,20.0
sample_180,1.4091,2.8898,0.8767,108,2.9123,7.1611,19.8769,14.5909,9.3783,15.3666,1.31,5.01,0.773,4.0,20.0
sample_181,2.9562,1.9673,2.8525,84,2.0192,7.4819,23.8308,9.8765,5.317,17.4346,0.711,4.891,0.732,7.17,20.0
sample_182,2.5043,1.1214,2.4718,113,1.1496,5.2104,17.3635,8.7636,5.2919,16.7658,1.016,7.623,0.966,8.73,20.0
sample_183,2.6517,1.4881,1.1807,153,1.494,4.4931,13.469,5.7246,3.8425,11.3199,0.855,3.832,0.84,11.62,20.0
sample_184,1.0049,2.1069,2.3659,91,2.131,7.1735,22.2648,6.3584,3.8858,11.0995,0.542,2.984,0.499,12.64,20.0
sample_185,1.6594,2.5815,2.6461,78,2.6003,8.4832,26.0897,11.2566,11.8697,18.1691,1.399,4.329,0.696,7.08,20.0
sample_186,1.7416,2.993,1.6534,88,2.9968,8.2112,23.8169,11.2257,11.2557,20.6353,1.371,3.746,0.866,7.03,20.0
sample_187,1.9244,1.1674,2.4295,113,1.1919,5.2527,17.4058,2.4326,4.2242,11.0279,0.804,2.041,0.634,15.64,20.0
sample_188,2.4066,1.8966,1.294,128,1.903,5.4879,16.2169,12.3256,4.3642,12.4121,0.795,6.477,0.765,5.27,20.0
sample_189,1.3178,2.5158,2.9084,75,2.5479,8.6661,26.9768,11.1824,8.7442,13.3211,1.009,4.389,0.494,7.5,20.0
sample_190,2.1806,2.6641,0.8722,115,2.6863,6.6764,18.6182,13.2757,9.5181,6.3183,1.426,4.942,0.339,4.54,20.0
sample_191,1.3793,2.0147,2.8229,84,2.0488,7.5115,23.8604,6.5012,6.8418,19.7764,0.911,3.173,0.829,12.12,20.0
sample_192,1.1149,2.1504,2.1365,95,2.1711,7.0013,21.4571,14.8851,5.1687,12.2633,0.738,6.856,0.572,4.0,20.0
sample_193,1.5983,1.4283,1.7743,127,1.4479,5.061,15.8745,11.3722,2.7381,14.2578,0.541,7.854,0.898,7.03,20.0
